Nama,Alamat,Titik Koordinat
Sensei Ramen,Jl. Moh Toha No. 105,"-6.940086395131572, 107.6068108355882"
Sensei Ramen,Jl. Gunung Batu No. 14,"-6.894559075029791, 107.5606051067549"
Gudeg Yu Nap,Jl. Cipta Graha Raya No. 1,"-6.889944692219665, 107.56350360731156"
Ayam Cremes Aliya,Jl. Ciliwung No. 17,"-6.905100324742835, 107.62635970675439"
Abuba Steak,Jl. Prabu Dimuntur No. 12,"-6.899273191824613, 107.61441841103884"
Fb & Co ,Jl. Aria Jipang No. 1-3,"-6.900146584978443, 107.6150245900049"
Sigaragara Dimsum Dipatiukur,Depan Kopi Endeus Jl. Hasanudin No. 28,"-6.895055652267993, 107.6166614704994"
Kopi Endeus,Jl. Hasanudin No. 28,"-6.894991717847303, 107.61667881238883"
Ayam Goreng Spg,Jl. Hasanudin No. 9,"-6.8945487194508015, 107.61628277609883"
Bebeke Om Aris,Jl. Dipati Ukur,"-6.894698502674944, 107.61754542601639"
Nasi Goreng Rempah Mafia Dipatiukur,Jl. Dipati Ukur No. 51A,"-6.891935826640783, 107.61742539717967"
Baskin Robbins Setiabudhi Supermarket,Jl. Dr. Setiabudi No.42-46,"-6.882110520963063, 107.60116520675152"
Bariton Bakery,Jl. Ciumbuleuit No. 101,"-6.879234593861052, 107.60323586847352"
Saung Rengganis Cafe & Catering,Jl. Rereongan Sarupi No. 73,"-6.859897591114427, 107.60573096769049"
Nila Nyengir Resto,Jl. Budi Indah No. 58,"-6.853302597745096, 107.59851557793387"
Sejiwa Coffee Kiputih,Jl. Kiputih No. 1A,"-6.86550252333928, 107.60667108204119"
Warung Gemboel,Jl. Ciumbuleuit No. 106,"-6.873561952785755, 107.60483175722841"
Mie Jakarta,Jl. Ciumbuleuit No. 151A,"-6.874542576078268, 107.60444686018444"
Warung Pa Moes,Jl. Bukit Jarian,"-6.875412197977442, 107.60627912370026"
Vilo Gelato Bandung,Jl. Gunung Kareumbi No. 7,"-6.869061745927712, 107.60888615806394"
Ekara Mocktails & Eatery,Jl. Bukit Jarian No.17,"-6.876938865432403, 107.60699068968744"
Kantin Heri,Jl. Bukit Jarian Dalam Vi No. 4,"-6.878534288659082, 107.60664627015615"
Angkringan Cisitu,Jl. Cisitu Indah 2 No. 16,"-6.8762395261714255, 107.61180751088801"
Study & Eat,Jl. Cisitu Indah Iii ,"-6.876182273538786, 107.61209584823493"
Baso Barokah,Jl. Cisitu Indah Vi No. 186,"-6.87334825628873, 107.6137353485961"
Nasi Tutug Oncom Teh Ita,Jl. Dago Pojok No. 32,"-6.8724322079022695, 107.61739924516425"
Alexandra Kitchen,Jl. Dago Pojok No. 56,"-6.871243203708107, 107.61635452562012"
Warung Taru,Jl. Ir. H. Juanda No.437,"-6.865348716354259, 107.6211225593812"
Choosy Coffee,Jl. Ir. H. Juanda No. 391,"-6.869440238649073, 107.6201928195956"
Nata D'Koppi,Jl. Dago No. 472,"-6.866063409568176, 107.62121228390127"
Sate Pak Kumis 999,Jl. Ir. H. Juanda No. 462,"-6.8675898020253925, 107.62091908546229"
Battye'S Cheesecakes & Cakes,Jl. Ir. H. Juanda No. 416,"-6.872370294562876, 107.61996506470994"
Surya Bundo,Jl. Ir. H. Juanda No. 400,"-6.87325438889375, 107.61970393375096"
372 Kopi Dago,Jl. Dago No. 372,"-6.875218963533873, 107.61905752137874"
Sop Buntut Dahapati,Jl. Cipaganti No.144,"-6.88714736714012, 107.60229639952468"
Pasadena Steak Bandung,Jl. Sukamaju No. 33,"-6.889381497084777, 107.59923331660563"
Station 8 - Cafe Art Jewellery Fashion,Jl. Sukajadi No. 132-134,"-6.890209387899986, 107.597034579573"
The Duck King ,Jl. Gatot Subroto No. 289,"-6.923111113481677, 107.63673091770642"
Jigoku Ramen,Jl. Cikutra No. 143,"-6.898014353155989, 107.64349580082302"
Kedai Selasih,Jl. Cikutra Baru Vi No. 34,"-6.895578556462894, 107.64062717800155"
Cekeran Midun Cikutra,Jl. Cikutra No. 211,"-6.89384839901418, 107.63851493613754"
Geprek Bensu Antapani,Jl. Terusan Jakarta Kel No. 99,"-6.912179855897063, 107.65289883095365"
Geprek Bensu Dago,Jl. Ir. H. Juanda No. 109,"-6.892787753727942, 107.61289123558167"
Geprek Bensu Buah Batu,Jl. Buah Batu No. 45,"-6.931653581758786, 107.61878849287879"
Ayam Geprek Bebas,Jl. Tengku Angkasa No 32A,"-6.890696328400819, 107.61644896095024"
Koffie Korner,Jl. Pudak No. 21,"-6.914768957950093, 107.62881660975526"
Kopadja,Jl. Pajajaran No. 92A,"-6.906722600067469, 107.59205870542698"
Thai Palace Fusion,Jl. Pajajaran No. 113,"-6.907397922639346, 107.59216745040774"
Rumah Makan Kalimantan,Jl. Rama No. 23,"-6.907611302832715, 107.59020641169997"
Makan Dulu Food Court,Jl. Pajajaran No. 136,"-6.906485961408215, 107.58773119982463"
Critical 11,Jl. Pajajaran Dalam No. 148,"-6.905249113951146, 107.58488483739053"
Beken Bbq (Mirae),Jl. Abdul Rahman Saleh No. 40A,"-6.907342033648325, 107.58347667767129"
Rm Tuah Bundo,Jl. Lmu Subagio No. 42,"-6.907105049275954, 107.58290201438248"
Mayasari Abdul Rahman Saleh,Jl. Abdul Rahman Saleh No. 51A,"-6.907642923091501, 107.58322387946123"
Kue Balok Kang Didin,Jl. Abdul Rahman Saleh No. 52,"-6.907368661052004, 107.58248090725559"
Warunk Upnormal Cikutra,Cibeunying Kaler Jl. Cikutra No. 169,"-6.896300180741451, 107.64317728635629"
Kongkowrongok,Neglasari. Cibuenying Kaler,"-6.898615482708481, 107.63874258890344"
Full House Coffee,Jl. Ph. H. Mustofa No. 54,"-6.899126737079385, 107.63944533215505"
Marones Coffee 2,Jl. Ph. H. Mustofa No. 25,"-6.898161476649055, 107.63713862796274"
Opieun Bandung (Ob),Jl. Ph. H. Mustofa No. 31,"-6.898359539387931, 107.63746159054364"
Warung Nasi Ampera Suci,Jl. Ph. H. Mustofa No. 31,"-6.89826299695055, 107.63750407845558"
Black Insomnia Coffee,Jl. Terusan Katamso No. 151,"-6.900472868711566, 107.63855230772201"
Bakso Rusuk Samanhudi Dago,Jl. Ir. H. Juanda No. 342B,"-6.877266034921942, 107.61739890675055"
Bakso Beranak Bandung,Jl. Raya Cipamokolan No. 21,"-6.941673909053592, 107.67608788292814"
Bakso Enggal Malang 3,Jl. Soekarno Hatta No. 94,"-6.925025636616856, 107.57559384173447"
Bakso Semar 24 Jam,Jl. Pungkur No. 95,"-6.92715341293988, 107.60769873558358"
Warung Nasi Ibu Imas 81,Jl. Pungkur No. 81,"-6.927025269158759, 107.60718673394393"
Ampera Kebon Kelapa,Jl. Pungkur No. 79,"-6.927110474896807, 107.60684341094455"
Ayam Djogja - Pasir Koja,Jl. Pasirkoja No. 22,"-6.926743695221195, 107.60233998529012"
Mie Akong,Jl. Pungkur No. 58,"-6.927578549176603, 107.60772232041607"
Bakso Barbel,Ruko Puri Dago Kav. 22 Jl. Terusan Jakarta No. 324,"-6.91631963716676, 107.66827155749428"
Jadid Coffee,Ruko Puri Dago Jl. Terusan Jakarta Kav 44 No. 368,"-6.916995693212387, 107.66912698181986"
Bakso Sultan ,Jl. Terusan Jakarta No. 321,"-6.914455471064529, 107.66635359224215"
Warung Nasi 22,Jl. Terusan Jakarta No. 158,"-6.913294532259635, 107.66008124592997"
Ngikan Yuk Antapani Bandung,Jl. Purwakarta No. 176,"-6.917001029419239, 107.65855773617781"
Serja Asia,Jl. Purwakarta No. 13,"-6.914347633650557, 107.65276015582239"
Cau Nugget,Jl. Depok Viii No. 3,"-6.913412374731546, 107.6563250110357"
Jamaras Chicken Noodle,Jl. A. H. Nasution No. 53,"-6.903389841742302, 107.6628052286765"
Bpk. Inganta Jumpa,Jl. Cikutra No. 211C,"-6.893450968179621, 107.63884417904642"
Ayam Angon - Fried & Grilled,Jl. Cikutra Barat No. 1,"-6.892759970610353, 107.63517625684737"
Tutut Mang Oded ,Jl. Rereng Adumanis No. 15,"-6.895295683604843, 107.6312452717817"
Kupiata,Jl. Sidomukti No. 22,"-6.894635259883516, 107.62927070308434"
Ayam Tulang Lunak Sukaluyu,Jl. Rereng Manis No. 38,"-6.893767183151579, 107.62883618392668"
Donat Bahagia,Jl. Cibeunying Kolot No. 67,"-6.888699812904435, 107.627615780124"
Gajua Teh,Jl. Cigadung Selatan No. 32,"-6.885370577698108, 107.62689694813974"
Little Tokyo Shabu Shabu,Paris Van Java Resort Level C No. 19 Jl. Sukajadi No. 131-139,"-6.887939564665871, 107.59588457698413"
Wingz O Wingz,Jl. Cihampelas No. 55,"-6.8983157305925, 107.60409458991468"
Wingz O Wingz,Jl. Supratman No. 45A,"-6.902956146470413, 107.62806947678604"
Wingz O Wingz Antapani,Jl. Purwakarta No. 29,"-6.911451954699429, 107.65328940114536"
Rumah Makan Baso Sapi Panghegar,Jl. Holis No. 230,"-6.926914103246018, 107.57420025988601"
Sudut Kopi & Eatery,Jl. Surya Sumantri No. 94,"-6.8838580668038105, 107.58184723136834"
Juji Espresso & Filter Bar,Jl. Hercules No. 55,"-6.886206046853677, 107.57850989897382"
Kedai Seblak Rajanya Pedas,Jl. Sarijadi Raya,"-6.882869632757159, 107.57596010229061"
Indo Kapau Rumah Makan,Jl. Sarimanah Blok 7 No. 68,"-6.877072509869689, 107.5778349659048"
Ayam Spb - Sarijadi,Jl. Sari Asih No. 62,"-6.875738233015505, 107.57788829520133"
Ruang Santap ,Sarijadi Sukasari Bandung City,"-6.8683955030766555, 107.57798079219927"
Hideki Coffee,Jl. Dr. Setiabudi No. 281A,"-6.853758656167578, 107.59582690732414"
Oseng Mercon Sarijadi,Jl. Sarimanah No. 16,"-6.878577375278151, 107.57649415104363"
Oseng Mercon Legend,Jl. Terusan Perintis,"-6.880189724084916, 107.57432659034336"
J. Co Donuts & Coffee,Jl.Sumatera No. 56,"-6.9053579580868565, 107.61085614979368"
J.Co Sawunggaling,Jl. Sawunggaling No 1,"-6.899052507871266, 107.61016906544013"
J.Co Donuts And Coffee - Cihampelas Walk,Cihampelas Walk Cipaganti,"-6.889169374699142, 107.60484662111796"
J. Co Donuts & Coffee Living Plaza,Jl. Pasir Kaliki No. 121,"-6.901917968734844, 107.59785586050256"
J. Co Donuts,Jl. Peta No. 241,"-6.925573372741649, 107.58796393910555"
J. Co Donuts Buah Batu,Jl. Buah Batu No. 161,"-6.934776106291778, 107.62521344822709"
Coffeelense Coffee Brewery,Jl. Panaitan No. 22,"-6.914668426439556, 107.61783160375636"
J.Co Donuts And Coffee - Kopo,Miko Mall Lt Gf No. 1 Jl Raya Kopo No. 599,"-6.955745459639358, 107.5809686915234"
J. Co Ubertos,Ubertos Jl. A.H. Nasution No. 46A,"-6.910418511179855, 107.69598031260311"
J.Co Donuts & Coffee - Lucky Square Mall,Lucky Square Jl. Terusan Jakarta No. 2,"-6.909778350220476, 107.6455992239017"
J. Co ,Jl. Gatot Subroto No. 289,"-6.92273043131472, 107.63684319943071"
J. Co Metro Indah Mall,Metro Indah Mall Jl. Soekarno Hatta,"-6.938408053862944, 107.65881577982485"
Nobu Ramen & Sushi,Jl. Merdeka No. 56,"-6.908295352009877, 107.6110082355858"
Nobu Ramen & Sushi Bec,Jl. Purnawarman No. 13-15,"-6.907964093618534, 107.60887423742543"
The Harvest Cakes - Dago,Dago Tamansari Jl. Ir. H. Juanda No. 15,"-6.9050457185364005, 107.6102475241322"
Qboat,Jl. Pasteur No. 29,"-6.900332975473019, 107.59941168331461"
Teras Cikapayang,Jl. Prof Eyckman No. 5,"-6.8956890656589955, 107.60305948284497"
Mie Ayam Baso Cipaganti,Jl. Cipaganti No. 85,"-6.894389616929305, 107.6022762777857"
Warunk Upnormal,Jl. Burangrang No. 21,"-6.923709653968023, 107.62001420525948"
Warunk Upnormal,Jl. Dipatiukur No. 3,"-6.896907904093826, 107.61349217477895"
Ayam Goreng Abot Pungkur,Depan Kantor Dpw Pbb Jl. Pungkur No. 151,"-6.9294529151650215, 107.61090763136602"
Makmur Jaya Coffee Roaster,Jl. Lengkong Besar No. 62,"-6.927760153752423, 107.61281401116766"
Amanda Brownies Kukus Cikawao,Jl. Cikawao No. 1-3,"-6.926947386544334, 107.61336654610251"
Sumber Hidangan ,Jl. Braga No. 20-22,"-6.918803359205383, 107.60983076440948"
Roti Gempol,Jl. Gempol Wetan No. 14,"-6.902523048825809, 107.61579483558221"
Warung Kopi Purnama,Jl. Alkateri No. 22,"-6.919801059712302, 107.60529105090833"
Sidodadi Bread & Cake Store,Jl. Otto Iskandar Dinata No. 255,"-6.923299213276507, 107.60401503558043"
Warung Nasi C' Mar,Jl. Braga No. 29,"-6.9173215544711715, 107.60628752438078"
Rumah Makan Linggarjati,Jl. Balonggede No. 1,"-6.9226650105542635, 107.60773235090402"
Batagor Riri,Jl. Burangrang No. 41,"-6.9273014625088205, 107.61967624909313"
Warung Nasi Bu Eha,Ps. Cihapit Jl. Cihapit No. 8A,"-6.908097053775912, 107.62159183558235"
Yoghurt Cisangkuy,Jl. Cisangkuy No. 66,"-6.901619350491767, 107.62141666441484"
Ronde Alkateri ,Jl. Alkateri No. 01,"-6.919855757049872, 107.60484513558303"
Mie Naripan,Jl. Naripan No. 108,"-6.921290257908887, 107.61782207792537"
Trouit Bandung,Jl. Pandu Dalam I No. 47,"-6.902574793547175, 107.59341009324228"
Bakmie Tjap Ayam,Jl. Angandara No. 7,"-6.9028732613723705, 107.59151391913764"
Shifu Ramen ,Jl. A. H. Nasution No. 252,"-6.917521910410959, 107.71009826975394"
Shifu Ramen ,Gg. Pelita Ii Sukapada,"-6.896295553698604, 107.64377007500438"
Shifu Ramen Katamso,Jl. Brigadir Jend. Katamso No. 43,"-6.900369144567544, 107.63302067144564"
Shifu Ramen Gatsu,Jl. Gatot Subroto No. 216,"-6.9258543257620415, 107.63943983715626"
Rumah Lezat Simplisio,Jl. Karapitan No. 45A,"-6.925966882053916, 107.61727879199925"
Ramen Bajuri Burangrang,Jl. Emong No. 58,"-6.924390618800504, 107.61955229309368"
Le Delice Cafe And Bakery,Jl. Guntur No. 22,"-6.924471224549345, 107.62124839955882"
The Harvest Cakes - Burangrang,Jl. Burangrang No. 31C,"-6.92369073235858, 107.61996037215474"
The Harvest Cakes Buah Batu,Jl. Buah Batu,"-6.942901216378212, 107.63050067795545"
Holland Bakery - Gatot Subroto,Jl. Gatot Subroto No. 187,"-6.92281559725044, 107.63001897697622"
Holland Bakery - Abdul Rivai,Jl. Dr. Abdul Rivai No. 7,"-6.902585052220003, 107.60384554793394"
Holland Bakery -  Merdeka,Jl. Merdeka No. 68,"-6.905274771938409, 107.61106665094069"
Chatime Surya Sumantri,Jl. Surya Sumantri No. 4,"-6.883162306338942, 107.58070845719394"
Chatime Merdeka,Jl. Merdeka No. 56,"-6.900596068558545, 107.61155340663862"
Chatime ,Istana Plaza Gf Jl. Pasir Kaliki No. 121-123,"-6.897570198233471, 107.5948666739321"
Chatime Gateway Pasteur,Jl. Gunung Batu No. 203,"-6.880953045737678, 107.56694462245244"
Chatime Sunda Bandung,Jl. Sunda No. 60,"-6.91097923600486, 107.61978450133162"
Chatime Bandung,Jl. Ir. H. Juanda No. 61 - 63,"-6.89345501873381, 107.61133351215258"
Chatime Ciwalk,Cihampelas Walk Jl. Cihampelas No. 160,"-6.8859626998870125, 107.60369032861756"
Chatime Braga Citiwalk,Jl. Braga No. 99-101,"-6.909311470488991, 107.60741128124478"
Chatime ,Jl. Dewi Sartika No. 16,"-6.9156754927233575, 107.60413537093679"
Chatime Balubur Bandung,Jl. Tamansari,"-6.8894902107293605, 107.60914169162483"
Chatime Setrasari Plaza Bandung,Jl. Surya Sumantri No. 44,"-6.873288506951345, 107.5811521154902"
Chatime Setiabudi Bandung,Jl. Dr. Setiabudi No. 166,"-6.863584052274054, 107.59638181037253"
Chatime - Paris Van Java,Jl. Sukajadi No. 131 - 139,"-6.882165243023576, 107.59530120350217"
Chatime Paskal 23,Jl. Kebon Jati No. 216,"-6.906675933219239, 107.59769762905275"
Chatime ,Gg. Marta No. 241,"-6.921959817705517, 107.58765318370722"
Chatime Bec,Bec Center Level Jl. Purnawarman No. 11,"-6.899029114054064, 107.60933154728306"
Chatime Bandung,Jl. Sumatera No. 23,"-6.910380636999829, 107.61491444723002"
Chatime - Living Plaza Pasir Kaliki,Jl. Pasir Kalikii No. 134,"-6.898219149944885, 107.5972379647032"
Chatime Btc Fashion Mall,Btc Fashion Mall Jl Dr. Djunjunan No. 143-149,"-6.88519322209945, 107.586070642119"
Chatime Sumbersari Junction,Jl. Sumber Sari ,"-6.923409868286399, 107.57778226446803"
Chatime Miko Mall,Jl. Raya Kopo Jl. Kopo Bihbul No.599,"-6.951809477995129, 107.57953963742244"
Chatime Ibcc,Plaza Ibcc Jl. Jenderal Ahmad Yani No. 296,"-6.9108444778272835, 107.63181142577189"
Chatime Jalan Riau Bandung,Jl. L. L. R. E. Martadinata No. 18,"-6.897844625170192, 107.61214619979174"
Ichiban Sushi 23 Paskal,Kebon Jeruk Andir,"-6.915519241617863, 107.59542725983601"
Maystar Recipe,Paskal Shopping Mall Jl. Pasir Kaliki No. 23,"-6.91549328034098, 107.59495519104894"
Burger King 23 Paskal,23 Paskal Shopping Center Jl. Pasir Kaliki No. 25-27,"-6.915220353887927, 107.59503833947414"
Burger King Bandung Indah Plaza,Bandung Indah Plaza Jl. Merdeka 56 ,"-6.9086266540423615, 107.6108816644152"
Burger King Istana Bandung Electronic Center,Istana Bandung Electronic Center Jl. Purnawarman No. 7,"-6.907969642949352, 107.60896067768671"
Burger King Cihampelas Walk,Jl. Cihampelas Walk No. 160,"-6.894175117241368, 107.60419180975616"
Burger King Bandung Pvj Mall,Pvj Mall Resort Level Jl. Sukajadi No.131-139,"-6.888259990746735, 107.59601599151571"
Burger King Trans Studio Mall,Trans Studio Mall Lt.2 Unit A01 A02 Jl. Gatot Subroto No. 289,"-6.92397076355187, 107.63653697544548"
Burger King Soekarno Hatta Bandung,Jl. Soekarno Hatta No. 618F,"-6.938070283475827, 107.6653505030096"
Pepper Lunch ,Jl. Pasir Kaliki No. 121-123,"-6.896817936617394, 107.59728201937268"
Pepper Lunch ,Paris Van Java Mall Blok Rl-A-08 Jl. Sukajadi No. 137-139,"-6.882269431222662, 107.5967198759983"
Marugame Udon,Jl. Gatot Subroto No. 289,"-6.921423735640337, 107.63639311711336"
Marugame Udon 23 Paskal,23 Paskal Shopping Center Lt. 2 Unit 14 Jl. Pasir Kaliki No. 25-27,"-6.910737974156065, 107.5946529262715"
Marugame Udon Paris Van Java,Paris Van Java Lt. Gf Jl. Sukajadi No. 131-139,"-6.886562917513611, 107.59683020945292"
Sushi Tei ,Jl. Gatot Subroto No. 289,"-6.923502368841851, 107.63571576736032"
Sushi Tei Paris Van Java,Paris Van Java Mall Sl-25,"-6.8864814328209745, 107.59562721846552"
Sushi Tei ,Flamboyant Season Building Jl. Sukawangi No. 2,"-6.875062818573449, 107.59614153874317"
Wingstop ,Jl. L. L. R. E. Martadinata No. 18,"-6.9151077611357845, 107.59378629517774"
Rumah Makan Legoh,Jl.Sultan Agung No. 9,"-6.903385889112932, 107.6119756967797"
Kartika Sari - Toko Utama,Jl. H. Akbar No. 4,"-6.908263945853074, 107.59982751291584"
Kartika Sari Ujung Berung,Jl. A. H. Nasution No. 133B,"-6.909910253334099, 107.69798964592799"
Kartika Sari,Jl. Terusan Jakarta No. 77E,"-6.909823983295844, 107.64374020297372"
Texas Chicken - The Kings Shopping Centre,The Kings Shopping Centre 1St Fl. Jl. Dalem Kaum No. 40,"-6.922773024266712, 107.6047397275216"
Blue Doors,Jl. Alkateri No. 2 Braga,"-6.92055235883779, 107.60531371517527"
Carl'S Jr. ,Jl. L. L. R. E. Martadinata No. 18,"-6.906247027138277, 107.61332932442987"
Ding Gua Gua,Jl. Mekar Utama I No. 6,"-6.952528301306831, 107.60631233921657"
Bao Dimsum,Paris Van Java Unit Cl-03 Jl. Sukajadi No. 131-139,"-6.889791872887266, 107.59627410675532"
Zuki Suki Paris Van Java,Jl. Sukajadi No. 131-139,"-6.888844934762599, 107.5957129188635"
I-Ta Suki,Paris Van Java Jl. Sukajadi No. 131-139,"-6.888774850390235, 107.59575873960634"
D'Crepes Surya Sumantri,Jl. Lemahnendeut No. 1E,"-6.875807339960467, 107.5816003811059"
Roemah Seafood,Jl. Terusan Pasirkoja No. 267,"-6.927091168294607, 107.58450731847132"
D'Crepes Merdeka,Jl. Merdeka No. 56,"-6.906151981121698, 107.6117302164551"
Shinjiru Restaurant,Jl. Pasir Kaliki No. 64,"-6.9105954295979, 107.59805134908952"
Marty'S Pizza,Jl. Braga No. 45,"-6.918003369700142, 107.60942454678685"
Pizza E Birra,Paris Van Java Jl. Sukajadi No. 131-139,"-6.888692382439257, 107.59590140569217"
