Nama,Alamat,Titik Koordinat
Kozi Coffee 6.2,Jl. Veteran No.2,"-6.917971331931217, 107.61272350674587"
Kozi 3.2,Jl. Halimun No.36,"-6.92661588838368, 107.62334635092628"
Kawan Kopi,Jl. Imam Bonjol No.48,"-6.8904849191405555, 107.61540497790979"
Moonwake Coffee,Jl. Abdul Rahman Saleh No.60,"-6.907276929750642, 107.58197397790978"
Moonwhite Coffee,Jl. Sersan Bajuri No.35,"-6.8552755009938355, 107.59214486441805"
Bennih Coffee,Jl. Macan No.2,"-6.929298738323608, 107.61889556441804"
New La Reine Coffee & Bakery,Jl. Pasir Kaliki No. 104,"-6.908329128372694, 107.59790027790977"
Koridor Coffee,Jl. Pasir Kalikik No. 26-27,"-6.9151297811132295, 107.5972223202376"
Dots Board Game Cafe,Ruko Paskal Hyper Square Blok F41-F42,"-6.914423541314159, 107.59391918778982"
Dapoer Blirik,Jl. Nakula No.15,"-6.90657286839571, 107.5914741236607"
Upnormal Coffee Roaster Merdeka,Jl. Merdeka No.68,"-6.907017004143959, 107.6107894239404"
Mcdonald'S,Jl. Gatot Subroto No.160,"-6.9248771453025455, 107.63230291885978"
Mcdonald'S,Jl. Merdeka No.56,"-6.907149432712532, 107.61093427282977"
Mcdonald'S Bandung Buah Batu,Jl. Buah Batu No.161,"-6.93786237406157, 107.62521524214314"
Mcdonald'S King'S Plaza Bandung,King'S Plaza Bandung Jl. Kepatihan No. 4-6,"-6.921962948680748, 107.60462861145645"
Mcdonald'S,Jl. Pasir Kaliki No.121-123,"-6.905179509711214, 107.59741218817312"
Mcdonald'S,Jl. Ir. H. Juanda,"-6.883936154979482, 107.6133811267998"
Mcdonald'S Soekarno Hatta,Jl. Soekarno Hatta No.611,"-6.938534273657475, 107.66268404214311"
Mcdonald'S,Jl. Kopo Mas No. 618,"-6.958656616766374, 107.57991709611312"
Mcdonald'S,Jl. Dr. Setiabudhi No. 86-87,"-6.877431227772878, 107.59813892679978"
Mcdonald'S,Jl. Raya Cipadung No.310,"-6.933386964143607, 107.71782125748643"
Bilbao Brasserie,Jl. Cimanuk No. 12,"-6.903482693923236, 107.62042239611311"
Alas Daun,Jl. Citarum No.34,"-6.900417524043238, 107.62522995453205"
Ampera Trunojoyo,Jl. Trunojoyo No. 46,"-6.901346833468661, 107.61486858110753"
Keuken Van Elsje,Jl. Buton No.11,"-6.917386425877171, 107.61575541885978"
D'Colonel Heritage,Jl. Kalimantan No. 12,"-6.9124710145731125, 107.61538761145647"
Gama Ikan Bakar & Seafood Bandung,Jl. Sumatera No.19,"-6.91598646177445, 107.61365720351642"
Tilu Kitchen And Patisserie,Jl. L. L. R E. Martadinata No. 81,"-6.904557084364767, 107.61867679611312"
Pago Restaurant,Jl. Gatot Subroto No.83,"-6.921937226592412, 107.62205504214312"
