Jenis Usaha,Nama,Alamat,Titik Koordinat
Outlet,Gudang Jam Bandung,Jl. Ternate No. 29,"-6.907119693360329, 107.61384598962665"
Outlet,Hurtzinemedia Store,Jl. Gudang Selatan No. 22A,"-6.916684481646385, 107.62079758537884"
Outlet,Poshbrain Studio,Jl. Gudang Selatan No. 22,"-6.916895354640224, 107.62093414218135"
Outlet,Pabrik-Jeans.Com,Jl. Gudang Utara No. 4,"-6.915072796311031, 107.619781000513"
Outlet,Zoya,Jl. Rumah Sakit No. 131,"-6.9276416083992665, 107.69463707980415"
Outlet,Best Care,Jl. Kemuning No. 23,"-6.915068293165974, 107.62815559512087"
Outlet,The Hallway,Kebon Pisang Sumur Bandung,"-6.919075875192521, 107.62245623565857"
Outlet,Tamim 27,Jl. Tamim No. 27,"-6.918076753295115, 107.60366566492453"
Outlet,Toko Gonzo,Jl. Setraindah Barat No. 2,"-6.881825610269285, 107.58796799025642"
Outlet,Chioda Sports Market,Jl. Kejaksaan No. 19,"-6.917948929441125, 107.6109187036164"
Outlet,D'Fashion Textile & Tailor,Jl. Veterean No. 41,"-6.919013983643716, 107.61613291318217"
Outlet,Dbl Store Bandung,Jl. Cihampelas No. 248,"-6.888047672766455, 107.60406614849221"
Outlet,Monaliza,Jl. L. L. R. E. Martadinata No. 170,"-6.915064730290696, 107.62945156567447"
Outlet,Lavie Baby Hourse,Jl. Imam Bonjol No. 6,"-6.893926279276422, 107.61555055352467"
Outlet,Cahaya Sport,Jl. Jenderal Ahmad Yani No. 262,"-6.916215794187197, 107.62928961683568"
Outlet,Elizabeth Ciateul,Jl. Ibu Inggit Garnasih No. 15,"-6.93014594131587, 107.60259199537205"
Outlet,Vilour Promo Indonesia,Jl. Dipati Ukur No. 76A,"-6.88905259768777, 107.61622077448756"
Distro,Rabbani Kopo,Jl. Raya Kopo No. 632,"-6.958990728996702, 107.5799984107519"
Distro,Screamous Shophouse,Jl. Geusan Ulun No. 01,"-6.904158617952064, 107.61186666876148"
Distro,Wormhole Store,Jl. Bahureksa No. 27,"-6.904489908112416, 107.61611509084689"
Distro,347 Store,Jl. Trunojoyo No. 4,"-6.905664882299723, 107.61305015736721"
Distro,Random Apparel Store,Jl. Wastukencana Gg. Nangkasuni No. 1,"-6.905030747265724, 107.60714650971683"
Distro,House Of Smith - Bandung Sultan Agung,Jl. Sultan Agung No. 27,"-6.90360685810929, 107.61284753691969"
Distro,Insurgent Club'S Flagship Store,Jl. Sultan Agung No. 27,"-6.9037240196200536, 107.61290118130078"
Distro,Bljk Blackjack Store,Jl. Trunojoyo No. 28,"-6.903737333628094, 107.61331155903618"
